"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 17 19:04:14 NOVT 2025","Thu Apr 17 19:04:17 NOVT 2025","2989","","order.CreateOrderTest","","order.CreateOrderTest","orderCanBeCreatedWithBlackAndGreyColorTest","The order can be created with BLACK and GREY color",""
"passed","Thu Apr 17 19:04:23 NOVT 2025","Thu Apr 17 19:04:24 NOVT 2025","1262","","courier.LoginCourierTest","","courier.LoginCourierTest","courierCanBeLoggedIn","Check courier can be login",""
"passed","Thu Apr 17 19:04:18 NOVT 2025","Thu Apr 17 19:04:18 NOVT 2025","376","","order.CreateOrderTest","","order.CreateOrderTest","orderCanBeCreatedWithBlackColorTest","The order can be created with one BLACK color",""
"passed","Thu Apr 17 19:04:17 NOVT 2025","Thu Apr 17 19:04:18 NOVT 2025","360","","order.CreateOrderTest","","order.CreateOrderTest","orderCanBeCreatedWithoutColorTest","The order can be created without color",""
"passed","Thu Apr 17 19:05:26 NOVT 2025","Thu Apr 17 19:05:28 NOVT 2025","1533","","courier.CreateCourierTest","","courier.CreateCourierTest","courierCanNotBeCreatedIfNameNotUniqueTest","The courier cannot be created, if courier name is not unique.",""
"passed","Thu Apr 17 19:04:21 NOVT 2025","Thu Apr 17 19:04:23 NOVT 2025","1288","","courier.LoginCourierTest","","courier.LoginCourierTest","courierCanNotBeLoginWithBadPasswordTest","The courier cannot be login with incorrect password.",""
"passed","Thu Apr 17 19:04:18 NOVT 2025","Thu Apr 17 19:04:20 NOVT 2025","1828","","order.ListOrderTest","","order.ListOrderTest","ordersListHaveBeReturnedTest","Order List have be returned",""
"passed","Thu Apr 17 19:04:24 NOVT 2025","Thu Apr 17 19:05:25 NOVT 2025","61343","","courier.LoginCourierTest","","courier.LoginCourierTest","courierCanNotBeLoginWithoutPasswordTest","The courier cannot be login without password.",""
"passed","Thu Apr 17 19:05:28 NOVT 2025","Thu Apr 17 19:05:28 NOVT 2025","672","","courier.CreateCourierTest","","courier.CreateCourierTest","courierCanNotCreatedWithoutPasswordTest","Check courier cannot be created without password",""
"passed","Thu Apr 17 19:05:25 NOVT 2025","Thu Apr 17 19:05:26 NOVT 2025","992","","courier.CreateCourierTest","","courier.CreateCourierTest","courierCanBeCreatedTest","Check courier can be created",""
"passed","Thu Apr 17 19:04:20 NOVT 2025","Thu Apr 17 19:04:21 NOVT 2025","1317","","courier.LoginCourierTest","","courier.LoginCourierTest","courierCanNotBeLoginWithBadNameTest","The courier cannot be login with incorrect name.",""
